experiment_id,parent_id,status,hypothesis,one_change,hardware,seed,ttft_ms,tpot_ms,ers,evidence
E000,,planned,The requirement contract is complete enough that score comparisons cannot be reversed by an UNKNOWN,contract audit only,analysis only,2025,,,,Attach official rules evaluator semantics and unresolved UNKNOWN list
E001,E000,planned,The official baseline is reproducible with variance below the smallest optimization target,exact baseline artifact only,H200 MIG 1g.18gb,2025,,,,Run A A A and keep manifest raw request events and output tokens
E002,E001,planned,A synchronized client system and GPU timeline identifies a measured critical-path share,profiling instrumentation only,RTX 4080 Super then H200 MIG,2025,,,,Collect NVTX Nsight Systems and selected Nsight Compute counters outside score runs
E003,E001,planned,One integration overlay explains the reported ERS regression from about 63 to 51,one binary-search overlay group per child run,H200 MIG 1g.18gb,2025,,,,Compare known-good infrastructure tokenizer and each kernel with source hashes
E004,E002,planned,Capture sizes derived from the active decode batch histogram reduce CPU gaps and client TPOT,cudagraph capture sizes only,RTX 4080 Super then H200 MIG,2025,,,,Record batch histogram graph versus eager ratio host gaps and TPOT buckets
E005,E004,planned,Scheduler and prefill budgets around the observed active set improve ERS without starving new turns,one scheduler budget per child run,RTX 4080 Super then H200 MIG,2025,,,,Screen max-num-seqs 72 80 96 then prefill budgets with A B A
E006,E001,planned,Prefix caching lowers later-turn TTFT enough to offset cache pressure,enable-prefix-caching false to true,RTX 4080 Super then H200 MIG,2025,,,,Report cached tokens eviction memory and TTFT by turn 1 through 6
E007,E001,planned,FP8 online weights improve TPOT without failing output quality,quantization none to fp8,RTX 4080 Super then H200 MIG,2025,,,,Verify selected backend quality VRAM and isolated latency effect
E008,E001,planned,FP8 KV cache improves capacity or attention bandwidth under the real context distribution,kv-cache-dtype auto to fp8,RTX 4080 Super then H200 MIG,2025,,,,Record cache capacity context distribution backend path quality and latency
E009,E002,planned,One frontend change reduces CPU delay on the 3-vCPU target without moving the bottleneck,one tokenizer worker thread or allocator change per child run,RTX 4080 Super then H200 MIG,2025,,,,Collect CPU run queue tokenize detokenize TTFT TPOT and remove profiler before score
E010,E002,planned,A single measured custom kernel removes enough critical-path time to exceed integration risk,one kernel overlay only,RTX 4080 Super then H200 MIG,2025,,,,Require correctness matrix SM90 counters and repeated end-to-end A B A before portal
E011,E001,planned,A surviving candidate has external validity on the exact contest target,known-good control candidate then replicate,H200 MIG 1g.18gb,2025,,,,Require matching manifest raw score inputs and repeatable portal improvement or rollback
